Name,Type,HP,Attack,Defense,Generation,Legendary
Bulbasaur,Grass,4,49,49,1,FALSE
Ivysaur,Grass,60,62,63,1,FALSE
Venusaur,Grass,80,82,83,1,FALSE
VenusaurMega Venusaur,Grass,80,100,123,1,FALSE
Charmander,Fire,39,52,43,1,FALSE
Charmeleon,Fire,58,64,58,1,FALSE
Charizard,Fire,78,84,78,1,FALSE
CharizardMega Charizard X,Fire,78,130,111,1,FALSE
CharizardMega Charizard Y,Fire,205,210,230,1,FALSE
Squirtle,Water,44,48,65,1,FALSE
Wartortle,Water,59,63,80,1,FALSE
Blastoise,Water,79,83,100,1,FALSE
BlastoiseMega Blastoise,Water,79,103,120,1,FALSE
Caterpie,Bug,45,30,35,1,FALSE
Metapod,Bug,50,20,55,1,FALSE
Butterfree,Bug,60,45,50,1,FALSE
Weedle,Bug,40,35,30,1,FALSE
Kakuna,Bug,45,25,50,1,FALSE
Beedrill,Bug,65,90,40,1,FALSE
BeedrillMega Beedrill,Bug,65,150,40,1,FALSE
Pidgey,Normal,40,45,40,1,FALSE
Pidgeotto,Normal,63,60,55,1,FALSE
Pidgeot,Normal,83,80,75,1,FALSE
PidgeotMega Pidgeot,Normal,83,80,80,1,FALSE
Rattata,Normal,30,56,35,1,FALSE
Raticate,Normal,55,81,60,1,FALSE
Spearow,Normal,40,60,30,1,FALSE
Fearow,Normal,65,90,65,1,FALSE
Ekans,Poison,35,60,44,1,FALSE
Arbok,Poison,60,85,69,1,FALSE
Pikachu,Electric,35,55,40,1,FALSE
Raichu,Electric,60,90,55,1,FALSE
Sandshrew,Ground,50,75,85,1,FALSE
Sandslash,Ground,75,100,110,1,FALSE
Nidorana,Poison,55,47,52,1,FALSE
Nidorina,Poison,70,62,67,1,FALSE
Nidoqueen,Poison,90,92,87,1,FALSE
Nidoranaa,Poison,46,57,40,1,FALSE
Nidorino,Poison,61,72,57,1,FALSE
Nidoking,Poison,81,102,77,1,FALSE
Clefairy,Fairy,70,45,48,1,FALSE
Clefable,Fairy,95,70,73,1,FALSE
Vulpix,Fire,38,41,40,1,FALSE
Ninetales,Fire,73,76,75,1,FALSE
Jigglypuff,Normal,115,45,20,1,FALSE
Wigglytuff,Normal,140,70,45,1,FALSE
Zubat,Poison,40,45,35,1,FALSE
Golbat,Poison,75,80,70,1,FALSE
Oddish,Grass,45,50,55,1,FALSE
Gloom,Grass,60,65,70,1,FALSE
Vileplume,Grass,75,80,85,1,FALSE
Paras,Bug,35,70,55,1,FALSE
Parasect,Bug,60,95,80,1,FALSE
Venonat,Bug,60,55,50,1,FALSE
Venomoth,Bug,70,65,60,1,FALSE
Diglett,Ground,10,55,25,1,FALSE
Dugtrio,Ground,35,80,50,1,FALSE
Meowth,Normal,40,45,35,1,FALSE
Persian,Normal,65,70,60,1,FALSE
Psyduck,Water,50,52,48,1,FALSE
Golduck,Water,80,82,78,1,FALSE
Mankey,Fighting,40,80,35,1,FALSE
Primeape,Fighting,65,105,60,1,FALSE
Growlithe,Fire,55,70,45,1,FALSE
Arcanine,Fire,90,110,80,1,FALSE
Poliwag,Water,40,50,40,1,FALSE
Poliwhirl,Water,65,65,65,1,FALSE
Poliwrath,Water,90,95,95,1,FALSE
Abra,Psychic,25,20,15,1,FALSE
Kadabra,Psychic,40,35,30,1,FALSE
Alakazam,Psychic,55,50,45,1,FALSE
AlakazamMega Alakazam,Psychic,55,50,65,1,FALSE
Machop,Fighting,70,80,50,1,FALSE
Machoke,Fighting,80,100,70,1,FALSE
Machamp,Fighting,90,130,80,1,FALSE
Bellsprout,Grass,50,75,35,1,FALSE
Weepinbell,Grass,65,90,50,1,FALSE
Victreebel,Grass,80,105,65,1,FALSE
Tentacool,Water,40,40,35,1,FALSE
Tentacruel,Water,80,70,65,1,FALSE
Geodude,Rock,40,80,100,1,FALSE
Graveler,Rock,55,95,115,1,FALSE
Golem,Rock,80,120,130,1,FALSE
Ponyta,Fire,50,85,55,1,FALSE
